head_id,rank,event_index,true_label,pred_label,event_score,top_particle_index,leading_pt_index,top_is_particle0,top_is_leading_pt
L1_ch80:96,4,255,label_Hcc,label_Zqq,13.386219024658203,33,0,0,0
L1_ch80:96,5,879,label_Tbqq,label_Tbqq,13.372234344482422,39,0,0,0
L1_ch48:64,1,56,label_Hbb,label_Hbb,8.847411155700684,45,0,0,0
L1_ch48:64,2,202,label_Hcc,label_Hcc,7.9265313148498535,35,0,0,0
L1_ch48:64,3,36,label_Hbb,label_Hgg,7.860620498657227,57,0,0,0
L1_ch48:64,4,179,label_Hcc,label_Hcc,7.683560848236084,45,0,0,0
L1_ch48:64,5,408,label_Hqql,label_Hqql,7.542431831359863,24,0,0,0
L2_ch128:160,1,707,label_Tbl,label_Tbl,0.697632908821106,0,0,1,1
L2_ch128:160,2,647,label_Tbl,label_Tbl,0.6819173693656921,0,0,1,1
L2_ch128:160,3,696,label_Tbl,label_Tbl,0.6815017461776733,0,0,1,1
L2_ch128:160,4,764,label_Tbl,label_Tbl,0.6694191694259644,0,0,1,1
L2_ch128:160,5,682,label_Tbl,label_Tbl,0.649602472782135,0,0,1,1
L2_ch224:256,1,689,label_Tbl,label_Tbl,0.6458096504211426,0,0,1,1
L2_ch224:256,2,707,label_Tbl,label_Tbl,0.5961805582046509,0,0,1,1
L2_ch224:256,3,652,label_Tbl,label_Tbl,0.5682569742202759,0,0,1,1
L2_ch224:256,4,675,label_Tbl,label_Tbl,0.5428941249847412,0,0,1,1
L2_ch224:256,5,643,label_Tbl,label_Tbl,0.5153225064277649,0,0,1,1
L2_ch0:32,1,707,label_Tbl,label_Tbl,0.5199669599533081,0,0,1,1
L2_ch0:32,2,840,label_Tbqq,label_Tbqq,0.4092286229133606,0,0,1,1
L2_ch0:32,3,689,label_Tbl,label_Tbl,0.4081932604312897,0,0,1,1
L2_ch0:32,4,652,label_Tbl,label_Tbl,0.3954674005508423,0,0,1,1
L2_ch0:32,5,671,label_Tbl,label_Tbl,0.3941167891025543,0,0,1,1
L2_ch64:96,1,390,label_Hqql,label_Hqql,0.35901373624801636,0,0,1,1
L2_ch64:96,2,706,label_Tbl,label_Tbl,0.3550853133201599,0,0,1,1
L2_ch64:96,3,759,label_Tbl,label_Tbl,0.3326294720172882,3,0,0,0
L2_ch64:96,4,657,label_Tbl,label_Tbl,0.32988545298576355,0,0,1,1
L2_ch64:96,5,699,label_Tbl,label_Tbl,0.32155776023864746,0,0,1,1
L2_ch160:192,1,671,label_Tbl,label_Tbl,0.793272852897644,0,0,1,1
L2_ch160:192,2,699,label_Tbl,label_Tbl,0.7499902248382568,0,0,1,1
L2_ch160:192,3,737,label_Tbl,label_Tbl,0.7130438685417175,0,0,1,1
L2_ch160:192,4,685,label_Tbl,label_Tbl,0.6881759166717529,0,0,1,1
L2_ch160:192,5,690,label_Tbl,label_Tbl,0.6369479298591614,0,0,1,1
L2_ch32:64,1,707,label_Tbl,label_Tbl,0.7877538204193115,0,0,1,1
L2_ch32:64,2,671,label_Tbl,label_Tbl,0.7287096977233887,0,0,1,1
L2_ch32:64,3,689,label_Tbl,label_Tbl,0.7211373448371887,0,0,1,1
L2_ch32:64,4,652,label_Tbl,label_Tbl,0.6586841344833374,0,0,1,1
L2_ch32:64,5,660,label_Tbl,label_Tbl,0.6396635174751282,0,0,1,1
L2_ch192:224,1,652,label_Tbl,label_Tbl,0.4874246418476105,0,0,1,1
L2_ch192:224,2,784,label_Tbqq,label_Tbqq,0.4060755968093872,2,0,0,0
L2_ch192:224,3,699,label_Tbl,label_Tbl,0.3873322010040283,0,0,1,1
L2_ch192:224,4,123,label_Hbb,label_Tbqq,0.3839866518974304,3,0,0,0
L2_ch192:224,5,799,label_Tbqq,label_Tbqq,0.3588102161884308,1,0,0,0
L2_ch96:128,1,784,label_Tbqq,label_Tbqq,0.3045206665992737,2,0,0,0
L2_ch96:128,2,868,label_Tbqq,label_Tbqq,0.276593953371048,2,0,0,0
L2_ch96:128,3,776,label_Tbqq,label_Tbqq,0.2623937129974365,4,0,0,0
L2_ch96:128,4,1236,label_Zqq,label_Zqq,0.23519474267959595,0,0,1,1
L2_ch96:128,5,59,label_Hbb,label_Hbb,0.23098525404930115,5,0,0,0
