event_idx,group,focus_head,particle_idx,particle_role,pid,particle_pt,l1_rank,l1_activation_norm,best_lepton_idx,deltaR_to_best_lepton,is_in_best_lepton_knn,best_lepton_knn_rank,same_particle_in_L2_ch128_top3,l2_rank_if_top3,l2_activation_norm_if_top3
14991,A_protected_highiso,L1_ch80:96,26,hadron_neighbor,neutral_hadron,4.719308853149414,2,31.737560272216797,0,0.4995158016681671,0,99,0,,0.0
14991,A_protected_highiso,L1_ch80:96,25,hadron_neighbor,charged_hadron,5.009345054626465,3,30.089902877807617,0,0.20980502665042877,0,99,0,,0.0
14999,A_protected_highiso,L1_ch80:96,34,hadron_neighbor,charged_hadron,2.0889546871185303,2,26.512096405029297,0,0.6234546899795532,0,99,0,,0.0
14999,A_protected_highiso,L1_ch80:96,18,hadron_neighbor,charged_hadron,5.064562797546387,3,24.661266326904297,0,0.18651658296585083,0,99,0,,0.0
15006,A_protected_highiso,L1_ch80:96,41,hadron_neighbor,charged_hadron,1.5067970752716064,2,33.42229461669922,0,0.1621951311826706,0,99,0,,0.0
15006,A_protected_highiso,L1_ch80:96,36,hadron_neighbor,charged_hadron,2.093167543411255,3,32.61012268066406,0,0.8306398987770081,0,99,0,,0.0
15112,A_protected_highiso,L1_ch80:96,25,hadron_neighbor,charged_hadron,4.194512367248535,1,39.7501106262207,0,0.12550358474254608,0,99,0,,0.0
15233,A_protected_highiso,L1_ch80:96,20,hadron_neighbor,charged_hadron,5.2946085929870605,3,26.317903518676758,0,0.1748320311307907,0,99,0,,0.0
15292,A_protected_highiso,L1_ch80:96,40,hadron_neighbor,charged_hadron,2.9237794876098633,1,44.08864212036133,0,0.6612411141395569,0,99,0,,0.0
15292,A_protected_highiso,L1_ch80:96,4,hard_hadron,neutral_hadron,48.407859802246094,2,36.57166290283203,0,0.2507604956626892,0,99,0,,0.0
15512,A_protected_highiso,L1_ch80:96,35,hadron_neighbor,charged_hadron,1.8264005184173584,3,28.762699127197266,0,0.2283347100019455,0,99,0,,0.0
15540,A_protected_highiso,L1_ch80:96,33,hadron_neighbor,charged_hadron,2.2738094329833984,1,36.05381774902344,0,0.14096419513225555,0,99,0,,0.0
15590,A_protected_highiso,L1_ch80:96,25,hadron_neighbor,charged_hadron,2.973837375640869,1,36.614871978759766,0,0.19469550251960754,0,99,0,,0.0
15590,A_protected_highiso,L1_ch80:96,13,hadron_neighbor,neutral_hadron,5.253460884094238,2,25.04755973815918,0,0.2930261194705963,0,99,0,,0.0
15590,A_protected_highiso,L1_ch80:96,5,hard_hadron,neutral_hadron,12.4946928024292,3,24.746501922607422,0,0.20544041693210602,0,99,0,,0.0
15684,A_protected_highiso,L1_ch80:96,42,hadron_neighbor,neutral_hadron,1.9615918397903442,1,47.9644889831543,0,0.7989662289619446,0,99,0,,0.0
15684,A_protected_highiso,L1_ch80:96,26,hadron_neighbor,charged_hadron,2.9902913570404053,3,26.66946029663086,0,0.18663012981414795,0,99,0,,0.0
15800,A_protected_highiso,L1_ch80:96,56,hadron_neighbor,charged_hadron,0.7515379190444946,1,34.51286315917969,0,0.9025303721427917,0,99,0,,0.0
16360,A_protected_highiso,L1_ch80:96,26,hadron_neighbor,charged_hadron,3.263356924057007,1,32.29081344604492,0,0.08121425658464432,0,99,0,,0.0
16360,A_protected_highiso,L1_ch80:96,17,hadron_neighbor,charged_hadron,4.594254970550537,3,27.480623245239258,0,0.11576446145772934,0,99,0,,0.0
12649,B_confused_highiso,L1_ch80:96,9,hard_hadron,charged_hadron,12.226399421691895,3,25.987390518188477,0,0.3371172845363617,0,99,0,,0.0
12982,B_confused_highiso,L1_ch80:96,34,hadron_neighbor,charged_hadron,2.1020498275756836,1,109.57654571533203,0,1.8961713314056396,0,99,0,,0.0
12982,B_confused_highiso,L1_ch80:96,16,hadron_neighbor,neutral_hadron,7.534743785858154,2,31.585803985595703,0,0.40996044874191284,0,99,0,,0.0
12982,B_confused_highiso,L1_ch80:96,6,hard_hadron,charged_hadron,11.493302345275879,3,30.56492042541504,0,0.4556790590286255,0,99,0,,0.0
13583,B_confused_highiso,L1_ch80:96,17,hadron_neighbor,charged_hadron,5.320719242095947,1,37.936424255371094,0,0.056691136211156845,1,12,0,,0.0
13583,B_confused_highiso,L1_ch80:96,8,hard_hadron,charged_hadron,11.510705947875977,2,36.46659469604492,0,0.1019676998257637,0,99,0,,0.0
13583,B_confused_highiso,L1_ch80:96,25,hadron_neighbor,charged_hadron,3.3096418380737305,3,35.79253387451172,0,0.051915910094976425,1,6,0,,0.0
13787,B_confused_highiso,L1_ch80:96,7,hard_hadron,neutral_hadron,14.193020820617676,3,24.47882843017578,0,0.31595638394355774,0,99,0,,0.0
13997,B_confused_highiso,L1_ch80:96,17,hadron_neighbor,charged_hadron,5.199942588806152,1,28.725740432739258,0,0.3611374795436859,0,99,0,,0.0
13997,B_confused_highiso,L1_ch80:96,14,hadron_neighbor,charged_hadron,7.161685466766357,3,24.399173736572266,0,0.42100003361701965,0,99,0,,0.0
14711,B_confused_highiso,L1_ch80:96,59,hadron_neighbor,neutral_hadron,2.329956293106079,1,31.200096130371094,0,0.5947407484054565,0,99,0,,0.0
14711,B_confused_highiso,L1_ch80:96,48,hadron_neighbor,charged_hadron,3.3018317222595215,2,29.370941162109375,0,0.9003622531890869,0,99,0,,0.0
14711,B_confused_highiso,L1_ch80:96,57,hadron_neighbor,charged_hadron,2.7057695388793945,3,28.032175064086914,0,0.7972114086151123,0,99,0,,0.0
15288,B_confused_highiso,L1_ch80:96,13,hard_hadron,charged_hadron,4.462475776672363,1,43.43825149536133,0,0.10411874949932098,0,99,0,,0.0
15288,B_confused_highiso,L1_ch80:96,8,hard_hadron,neutral_hadron,5.959022521972656,2,37.52458953857422,0,0.09994925558567047,1,13,0,,0.0
15288,B_confused_highiso,L1_ch80:96,40,hadron_neighbor,charged_hadron,1.2935066223144531,3,34.83408737182617,0,0.6524475812911987,0,99,0,,0.0
15658,B_confused_highiso,L1_ch80:96,71,hadron_neighbor,charged_hadron,0.7258743643760681,1,111.22432708740234,0,2.1626710891723633,0,99,0,,0.0
15658,B_confused_highiso,L1_ch80:96,29,hadron_neighbor,neutral_hadron,4.866365909576416,2,30.49385643005371,0,0.7226161956787109,0,99,0,,0.0
15658,B_confused_highiso,L1_ch80:96,25,hadron_neighbor,charged_hadron,5.36470365524292,3,28.790603637695312,0,0.4816763699054718,0,99,0,,0.0
15893,B_confused_highiso,L1_ch80:96,11,hard_hadron,charged_hadron,14.215394020080566,1,27.625009536743164,0,0.20648428797721863,0,99,0,,0.0
15893,B_confused_highiso,L1_ch80:96,12,hadron_neighbor,charged_hadron,13.18796443939209,3,25.710630416870117,0,0.1642906218767166,0,99,0,,0.0
20480,C_Tbl_correct,L1_ch80:96,15,hadron_neighbor,charged_hadron,2.002293348312378,2,65.35978698730469,0,0.9462451934814453,0,99,0,,0.0
20481,C_Tbl_correct,L1_ch80:96,13,hadron_neighbor,charged_hadron,6.398701190948486,1,27.749191284179688,0,0.3476634919643402,0,99,0,,0.0
20481,C_Tbl_correct,L1_ch80:96,11,hadron_neighbor,charged_hadron,7.0401482582092285,2,26.513381958007812,0,0.2766128182411194,0,99,0,,0.0
20482,C_Tbl_correct,L1_ch80:96,1,hardest_hadron,neutral_hadron,85.6462173461914,1,27.975252151489258,0,0.07504092901945114,0,99,0,,0.0
20482,C_Tbl_correct,L1_ch80:96,13,hadron_neighbor,charged_hadron,4.890113353729248,2,27.889917373657227,0,0.047092217952013016,0,99,0,,0.0
20482,C_Tbl_correct,L1_ch80:96,10,hadron_neighbor,charged_hadron,7.141330718994141,3,26.062528610229492,0,0.03473147377371788,0,99,0,,0.0
20484,C_Tbl_correct,L1_ch80:96,22,hadron_neighbor,charged_hadron,4.911870956420898,3,28.046981811523438,0,0.8904719352722168,0,99,0,,0.0
20485,C_Tbl_correct,L1_ch80:96,14,hadron_neighbor,charged_hadron,5.220975399017334,2,31.387069702148438,0,0.24865710735321045,0,99,0,,0.0
20486,C_Tbl_correct,L1_ch80:96,12,hadron_neighbor,charged_hadron,9.163783073425293,1,29.709957122802734,1,0.37867847084999084,0,99,0,,0.0
20486,C_Tbl_correct,L1_ch80:96,6,hard_hadron,charged_hadron,20.90523338317871,2,29.033977508544922,1,0.39389902353286743,0,99,0,,0.0
20486,C_Tbl_correct,L1_ch80:96,14,hadron_neighbor,charged_hadron,6.975025653839111,3,27.25827407836914,1,0.3709218502044678,0,99,0,,0.0
20488,C_Tbl_correct,L1_ch80:96,4,hard_hadron,charged_hadron,42.47578048706055,1,22.373336791992188,0,0.1376270204782486,0,99,0,,0.0
20488,C_Tbl_correct,L1_ch80:96,6,hard_hadron,charged_hadron,20.781667709350586,3,20.93272590637207,0,0.15405820310115814,0,99,0,,0.0
20489,C_Tbl_correct,L1_ch80:96,10,hadron_neighbor,charged_hadron,9.784201622009277,1,29.118181228637695,0,0.3026440739631653,0,99,0,,0.0
20489,C_Tbl_correct,L1_ch80:96,4,hard_hadron,charged_hadron,21.255573272705078,3,23.091876983642578,0,0.2575104534626007,0,99,0,,0.0
20490,C_Tbl_correct,L1_ch80:96,35,hadron_neighbor,charged_hadron,0.38173723220825195,1,99.83301544189453,0,1.1918834447860718,0,99,0,,0.0
20490,C_Tbl_correct,L1_ch80:96,22,hadron_neighbor,neutral_hadron,3.752756118774414,2,32.200592041015625,0,0.6467562913894653,0,99,0,,0.0
20490,C_Tbl_correct,L1_ch80:96,10,hadron_neighbor,charged_hadron,14.438669204711914,3,25.78317642211914,0,0.23083706200122833,0,99,0,,0.0
20492,C_Tbl_correct,L1_ch80:96,75,hadron_neighbor,charged_hadron,0.4453120231628418,1,107.52193450927734,0,0.8641726970672607,0,99,0,,0.0
20492,C_Tbl_correct,L1_ch80:96,74,nearest_hadron_to_best_lepton,charged_hadron,1.3540942668914795,2,45.193294525146484,0,0.07469182461500168,1,2,0,,0.0
20492,C_Tbl_correct,L1_ch80:96,22,hadron_neighbor,neutral_hadron,7.558292388916016,3,39.182838439941406,0,0.876929521560669,0,99,0,,0.0
20493,C_Tbl_correct,L1_ch80:96,20,hadron_neighbor,charged_hadron,1.3827050924301147,1,25.328012466430664,0,0.9072484374046326,0,99,0,,0.0
20493,C_Tbl_correct,L1_ch80:96,18,hadron_neighbor,charged_hadron,1.8757728338241577,2,24.311389923095703,0,0.21978288888931274,0,99,0,,0.0
20494,C_Tbl_correct,L1_ch80:96,21,hadron_neighbor,charged_hadron,2.2307167053222656,2,27.6106014251709,0,0.3071780204772949,1,14,0,,0.0
20495,C_Tbl_correct,L1_ch80:96,17,hadron_neighbor,neutral_hadron,2.018589496612549,1,36.88098907470703,2,0.30198365449905396,0,99,0,,0.0
20495,C_Tbl_correct,L1_ch80:96,7,hard_hadron,charged_hadron,12.984375,2,31.22786521911621,2,0.4096488356590271,0,99,0,,0.0
20495,C_Tbl_correct,L1_ch80:96,13,hadron_neighbor,charged_hadron,3.695004940032959,3,28.320716857910156,2,0.3487372100353241,0,99,0,,0.0
20496,C_Tbl_correct,L1_ch80:96,27,hadron_neighbor,charged_hadron,2.9201574325561523,3,30.440839767456055,0,0.5587102174758911,0,99,1,2,1.3961790800094604
20497,C_Tbl_correct,L1_ch80:96,19,hadron_neighbor,charged_hadron,0.2492384910583496,1,143.9354705810547,0,2.4515459537506104,0,99,0,,0.0
20497,C_Tbl_correct,L1_ch80:96,17,hadron_neighbor,charged_hadron,1.1506739854812622,2,43.11175537109375,0,0.8643434643745422,0,99,0,,0.0
20498,C_Tbl_correct,L1_ch80:96,11,hadron_neighbor,charged_hadron,1.4357649087905884,1,123.80146026611328,1,1.4546386003494263,0,99,0,,0.0
20498,C_Tbl_correct,L1_ch80:96,13,hadron_neighbor,charged_hadron,0.6890896558761597,2,56.08116912841797,1,1.0138970613479614,0,99,0,,0.0
20498,C_Tbl_correct,L1_ch80:96,10,hadron_neighbor,neutral_hadron,2.4481844902038574,3,42.30708312988281,1,0.983878493309021,0,99,0,,0.0
20499,C_Tbl_correct,L1_ch80:96,14,hadron_neighbor,neutral_hadron,3.3125691413879395,2,29.49802017211914,1,0.7432678937911987,0,99,0,,0.0
20500,C_Tbl_correct,L1_ch80:96,24,hadron_neighbor,charged_hadron,2.726628303527832,2,29.361108779907227,0,0.7201548218727112,0,99,0,,0.0
20501,C_Tbl_correct,L1_ch80:96,37,hadron_neighbor,charged_hadron,0.5801117420196533,1,135.0327606201172,0,2.5424680709838867,0,99,0,,0.0
20501,C_Tbl_correct,L1_ch80:96,35,hadron_neighbor,charged_hadron,1.2583918571472168,2,40.288307189941406,0,0.7310186624526978,0,99,0,,0.0
20502,C_Tbl_correct,L1_ch80:96,31,hadron_neighbor,charged_hadron,0.5328081846237183,1,142.73989868164062,0,2.206953525543213,0,99,0,,0.0
20502,C_Tbl_correct,L1_ch80:96,15,nearest_hadron_to_best_lepton,neutral_hadron,4.554914951324463,2,51.5126953125,0,0.15083472430706024,1,7,0,,0.0
20503,C_Tbl_correct,L1_ch80:96,18,hadron_neighbor,neutral_hadron,0.7417477965354919,1,41.02186584472656,4,1.04791259765625,0,99,0,,0.0
20505,C_Tbl_correct,L1_ch80:96,12,hadron_neighbor,neutral_hadron,1.7776254415512085,1,31.84465980529785,0,0.656253457069397,0,99,0,,0.0
20505,C_Tbl_correct,L1_ch80:96,10,hadron_neighbor,charged_hadron,2.055927038192749,2,30.506372451782227,0,0.27199751138687134,0,99,0,,0.0
20506,C_Tbl_correct,L1_ch80:96,29,hadron_neighbor,charged_hadron,2.2254481315612793,1,43.944984436035156,0,0.9142066836357117,0,99,0,,0.0
20507,C_Tbl_correct,L1_ch80:96,26,hadron_neighbor,charged_hadron,3.1262786388397217,1,28.03321647644043,0,0.44466671347618103,0,99,0,,0.0
20509,C_Tbl_correct,L1_ch80:96,7,hadron_neighbor,charged_hadron,6.556372165679932,1,37.0551643371582,1,0.4707326292991638,0,99,0,,0.0
20509,C_Tbl_correct,L1_ch80:96,6,hadron_neighbor,charged_hadron,18.796159744262695,2,30.226524353027344,1,0.47553762793540955,0,99,0,,0.0
20511,C_Tbl_correct,L1_ch80:96,18,hadron_neighbor,charged_hadron,8.664892196655273,2,31.732839584350586,0,0.7877951264381409,0,99,0,,0.0
20512,C_Tbl_correct,L1_ch80:96,16,hadron_neighbor,charged_hadron,0.7922788262367249,1,29.50023078918457,1,0.6180736422538757,0,99,0,,0.0
20512,C_Tbl_correct,L1_ch80:96,12,hadron_neighbor,charged_hadron,2.3417375087738037,2,29.206388473510742,1,0.2595996856689453,0,99,0,,0.0
20512,C_Tbl_correct,L1_ch80:96,15,hadron_neighbor,charged_hadron,0.8517165184020996,3,28.21722984313965,1,0.32910269498825073,0,99,0,,0.0
20513,C_Tbl_correct,L1_ch80:96,19,hadron_neighbor,neutral_hadron,1.3547792434692383,1,41.3946647644043,0,0.7081747055053711,0,99,0,,0.0
20513,C_Tbl_correct,L1_ch80:96,17,nearest_hadron_to_best_lepton,neutral_hadron,1.502299189567566,2,38.27732467651367,0,0.3833177089691162,1,10,0,,0.0
20513,C_Tbl_correct,L1_ch80:96,21,hadron_neighbor,charged_hadron,1.1079225540161133,3,36.14908981323242,0,0.9844197034835815,0,99,0,,0.0
20514,C_Tbl_correct,L1_ch80:96,8,hadron_neighbor,charged_hadron,15.499486923217773,3,28.492958068847656,0,0.29874616861343384,0,99,0,,0.0
20515,C_Tbl_correct,L1_ch80:96,7,hadron_neighbor,charged_hadron,2.1236445903778076,1,41.30838394165039,0,0.5810548067092896,0,99,0,,0.0
20515,C_Tbl_correct,L1_ch80:96,5,hadron_neighbor,neutral_hadron,2.3045127391815186,3,30.429147720336914,0,0.6273709535598755,0,99,0,,0.0
20516,C_Tbl_correct,L1_ch80:96,3,hard_hadron,neutral_hadron,68.7491683959961,1,40.963619232177734,0,0.32015976309776306,0,99,0,,0.0
20516,C_Tbl_correct,L1_ch80:96,12,hadron_neighbor,charged_hadron,8.019871711730957,3,31.253278732299805,0,0.3556263744831085,0,99,0,,0.0
20517,C_Tbl_correct,L1_ch80:96,21,hadron_neighbor,charged_hadron,1.0011638402938843,1,65.7500991821289,2,0.8183183670043945,0,99,0,,0.0
20518,C_Tbl_correct,L1_ch80:96,25,hadron_neighbor,neutral_hadron,0.7575080990791321,1,48.26996612548828,1,0.756796658039093,0,99,0,,0.0
20518,C_Tbl_correct,L1_ch80:96,21,hadron_neighbor,charged_hadron,1.3832746744155884,2,31.90757179260254,1,0.1506289839744568,0,99,0,,0.0
20519,C_Tbl_correct,L1_ch80:96,16,hadron_neighbor,charged_hadron,5.727144241333008,1,31.105480194091797,0,0.34803134202957153,0,99,0,,0.0
20519,C_Tbl_correct,L1_ch80:96,10,hadron_neighbor,charged_hadron,9.515914916992188,2,30.50623893737793,0,0.3590371608734131,0,99,0,,0.0
20519,C_Tbl_correct,L1_ch80:96,13,hadron_neighbor,charged_hadron,6.883821487426758,3,29.913496017456055,0,0.36836057901382446,0,99,0,,0.0
20520,C_Tbl_correct,L1_ch80:96,15,hadron_neighbor,charged_hadron,5.503244400024414,2,28.2114200592041,0,0.15902024507522583,0,99,0,,0.0
20520,C_Tbl_correct,L1_ch80:96,21,hadron_neighbor,charged_hadron,3.571826457977295,3,27.22282600402832,0,0.18958443403244019,0,99,0,,0.0
20521,C_Tbl_correct,L1_ch80:96,22,hadron_neighbor,neutral_hadron,2.3665452003479004,1,31.914642333984375,1,0.9508939385414124,0,99,0,,0.0
20521,C_Tbl_correct,L1_ch80:96,29,hadron_neighbor,charged_hadron,1.2723644971847534,2,30.8526554107666,1,0.7159813642501831,0,99,0,,0.0
20521,C_Tbl_correct,L1_ch80:96,8,hard_hadron,charged_hadron,15.41736125946045,3,27.851896286010742,1,0.5707653760910034,0,99,0,,0.0
20523,C_Tbl_correct,L1_ch80:96,14,hadron_neighbor,neutral_hadron,1.1758581399917603,1,46.43095016479492,1,0.4203478991985321,0,99,0,,0.0
20523,C_Tbl_correct,L1_ch80:96,13,nearest_hadron_to_best_lepton,charged_hadron,1.9980783462524414,2,29.472362518310547,1,0.36266863346099854,0,99,0,,0.0
20524,C_Tbl_correct,L1_ch80:96,11,hadron_neighbor,neutral_hadron,2.225579261779785,1,43.39427185058594,0,0.390119343996048,0,99,0,,0.0
20524,C_Tbl_correct,L1_ch80:96,10,hadron_neighbor,neutral_hadron,3.2665281295776367,2,31.065322875976562,0,0.44289445877075195,0,99,0,,0.0
20524,C_Tbl_correct,L1_ch80:96,9,hadron_neighbor,charged_hadron,3.8542251586914062,3,27.024364471435547,0,0.3750040829181671,0,99,0,,0.0
20525,C_Tbl_correct,L1_ch80:96,25,hadron_neighbor,charged_hadron,2.191967248916626,1,114.77107238769531,0,2.277104377746582,0,99,0,,0.0
20526,C_Tbl_correct,L1_ch80:96,17,hadron_neighbor,neutral_hadron,4.36618185043335,1,50.894203186035156,0,0.3096493184566498,1,10,0,,0.0
20526,C_Tbl_correct,L1_ch80:96,27,hadron_neighbor,charged_hadron,0.6196953058242798,2,33.03232192993164,0,0.5675370097160339,0,99,0,,0.0
20526,C_Tbl_correct,L1_ch80:96,22,hadron_neighbor,charged_hadron,2.57301664352417,3,31.60358428955078,0,0.7557873129844666,0,99,1,2,1.010758876800537
20527,C_Tbl_correct,L1_ch80:96,19,hadron_neighbor,neutral_hadron,3.7577924728393555,1,31.326187133789062,0,0.7113341093063354,0,99,0,,0.0
20527,C_Tbl_correct,L1_ch80:96,24,hadron_neighbor,charged_hadron,3.317068576812744,3,26.732118606567383,0,0.43924111127853394,0,99,0,,0.0
20528,C_Tbl_correct,L1_ch80:96,27,hadron_neighbor,neutral_hadron,1.9193730354309082,1,28.236547470092773,0,0.49878600239753723,0,99,0,,0.0
20530,C_Tbl_correct,L1_ch80:96,38,hadron_neighbor,neutral_hadron,4.399009704589844,1,35.08673858642578,0,0.6252373456954956,0,99,0,,0.0
20530,C_Tbl_correct,L1_ch80:96,36,hadron_neighbor,neutral_hadron,4.829425811767578,2,30.27777862548828,0,0.6493915319442749,0,99,0,,0.0
20531,C_Tbl_correct,L1_ch80:96,6,hadron_neighbor,charged_hadron,20.68189811706543,2,21.884044647216797,0,0.3681325316429138,0,99,0,,0.0
20531,C_Tbl_correct,L1_ch80:96,5,hadron_neighbor,charged_hadron,24.297649383544922,3,21.602853775024414,0,0.343403697013855,0,99,0,,0.0
20532,C_Tbl_correct,L1_ch80:96,14,nearest_hadron_to_best_lepton,charged_hadron,6.419761657714844,1,31.94972038269043,0,0.0682711973786354,1,8,0,,0.0
20533,C_Tbl_correct,L1_ch80:96,53,hadron_neighbor,charged_hadron,0.6146264672279358,1,113.71260833740234,0,1.9507927894592285,0,99,0,,0.0
20533,C_Tbl_correct,L1_ch80:96,11,hard_hadron,charged_hadron,13.007166862487793,2,34.045631408691406,0,0.3854508399963379,0,99,0,,0.0
20534,C_Tbl_correct,L1_ch80:96,6,hadron_neighbor,charged_hadron,37.38751983642578,1,32.30409622192383,0,0.34411993622779846,0,99,0,,0.0
20534,C_Tbl_correct,L1_ch80:96,11,hadron_neighbor,charged_hadron,16.262577056884766,2,30.992006301879883,0,0.339704304933548,0,99,0,,0.0
20534,C_Tbl_correct,L1_ch80:96,10,hadron_neighbor,neutral_hadron,25.54013442993164,3,29.65591049194336,0,0.401104599237442,0,99,0,,0.0
20536,C_Tbl_correct,L1_ch80:96,2,hard_hadron,neutral_hadron,45.00316619873047,2,32.397987365722656,0,0.5174630284309387,0,99,1,2,2.632652759552002
20536,C_Tbl_correct,L1_ch80:96,17,hadron_neighbor,neutral_hadron,6.5360260009765625,3,30.6653995513916,0,0.3862636387348175,0,99,0,,0.0
20537,C_Tbl_correct,L1_ch80:96,9,hadron_neighbor,charged_hadron,11.404565811157227,3,27.314159393310547,0,0.3481612205505371,0,99,0,,0.0
20538,C_Tbl_correct,L1_ch80:96,25,hadron_neighbor,charged_hadron,0.4904228448867798,1,107.01756286621094,0,1.3614213466644287,0,99,0,,0.0
20538,C_Tbl_correct,L1_ch80:96,16,hadron_neighbor,charged_hadron,2.3118600845336914,2,42.859100341796875,0,0.504741907119751,0,99,0,,0.0
20538,C_Tbl_correct,L1_ch80:96,21,hadron_neighbor,charged_hadron,1.0695770978927612,3,40.06547546386719,0,0.7551714181900024,0,99,0,,0.0
20540,C_Tbl_correct,L1_ch80:96,8,hadron_neighbor,charged_hadron,16.263002395629883,2,26.821575164794922,0,0.25497275590896606,0,99,0,,0.0
20541,C_Tbl_correct,L1_ch80:96,10,hadron_neighbor,neutral_hadron,4.981019496917725,1,27.50922966003418,0,0.3197467625141144,0,99,0,,0.0
20542,C_Tbl_correct,L1_ch80:96,16,hadron_neighbor,charged_hadron,1.4197300672531128,1,36.068031311035156,0,0.6225469708442688,0,99,0,,0.0
