event_idx,true,true_label,pred,pred_label,conf,pred_logit,head_max_particle_energy,real_particles,top_particle_indices
550,3,label_Hgg,1,label_Hbb,0.5669053792953491,0.24550969898700714,67.38198852539062,48,"[47, 44, 40, 39, 29, 35, 45, 25, 27, 42, 24, 21]"
1301,9,label_Tbl,9,label_Tbl,0.9999728202819824,3.5026822090148926,67.27069091796875,38,"[37, 36, 34, 16, 35, 33, 29, 22, 13, 18, 7, 32]"
1696,8,label_Tbqq,0,label_QCD,0.7210245132446289,-0.34881913661956787,67.20712280273438,56,"[55, 41, 52, 35, 30, 21, 54, 5, 23, 50, 53, 13]"
1653,8,label_Tbqq,8,label_Tbqq,0.9923842549324036,1.938882827758789,67.1904067993164,79,"[78, 50, 75, 71, 66, 76, 59, 24, 43, 52, 45, 72]"
1647,8,label_Tbqq,8,label_Tbqq,0.9957139492034912,2.7738630771636963,66.94712829589844,40,"[39, 15, 36, 37, 20, 12, 18, 33, 0, 13, 11, 38]"
1687,8,label_Tbqq,8,label_Tbqq,0.7906858325004578,-0.12874436378479004,66.90929412841797,48,"[43, 36, 18, 42, 44, 45, 47, 37, 33, 0, 40, 1]"
808,5,label_Hqql,5,label_Hqql,0.539645791053772,1.384907841682434,66.80781555175781,27,"[26, 13, 0, 10, 1, 5, 19, 16, 3, 11, 15, 2]"
517,3,label_Hgg,3,label_Hgg,0.8536363840103149,0.9176300168037415,66.58582305908203,53,"[52, 0, 17, 38, 48, 40, 4, 5, 11, 6, 46, 51]"
913,5,label_Hqql,5,label_Hqql,0.9601380228996277,3.3921825885772705,66.57282257080078,51,"[50, 41, 46, 26, 49, 20, 31, 42, 43, 48, 0, 45]"
2524,6,label_Zqq,7,label_Wqq,0.7628308534622192,0.5645980834960938,66.46255493164062,32,"[31, 15, 18, 13, 23, 0, 22, 9, 16, 21, 10, 14]"
410,2,label_Hcc,1,label_Hbb,0.8018558621406555,0.8653603196144104,66.3296127319336,38,"[37, 31, 30, 34, 20, 19, 16, 0, 23, 27, 35, 33]"
1711,8,label_Tbqq,8,label_Tbqq,0.8682659268379211,1.0610365867614746,66.25141143798828,51,"[42, 48, 45, 38, 30, 23, 39, 0, 50, 41, 47, 49]"
1480,9,label_Tbl,9,label_Tbl,0.9999748468399048,2.1452255249023438,66.23424530029297,22,"[21, 2, 19, 10, 9, 14, 11, 17, 18, 6, 13, 16]"
96,1,label_Hbb,8,label_Tbqq,0.591644823551178,-0.4785638451576233,66.18558502197266,66,"[65, 35, 60, 59, 58, 56, 48, 36, 64, 12, 55, 62]"
1623,8,label_Tbqq,8,label_Tbqq,0.8459432721138,0.9374843835830688,66.0370101928711,59,"[58, 57, 40, 52, 31, 4, 45, 36, 33, 46, 48, 50]"
155,1,label_Hbb,1,label_Hbb,0.490255206823349,0.05564261972904205,65.99108123779297,55,"[54, 48, 49, 52, 21, 8, 22, 44, 50, 36, 53, 41]"
1691,8,label_Tbqq,8,label_Tbqq,0.9910508394241333,1.681873083114624,65.98815155029297,40,"[39, 31, 20, 21, 37, 24, 27, 6, 36, 28, 19, 35]"
996,5,label_Hqql,5,label_Hqql,0.9545259475708008,2.4455294609069824,65.82160186767578,5,"[4, 0, 2, 1, 3]"
702,3,label_Hgg,3,label_Hgg,0.6790173053741455,0.5648865103721619,65.68682098388672,45,"[44, 2, 38, 1, 43, 33, 27, 28, 6, 35, 40, 9]"
1426,9,label_Tbl,9,label_Tbl,1.0,4.510868549346924,65.65247344970703,21,"[20, 17, 19, 1, 14, 12, 11, 13, 7, 5, 16, 18]"
1688,8,label_Tbqq,8,label_Tbqq,0.7738682627677917,1.385127067565918,65.2337417602539,36,"[35, 34, 32, 31, 23, 20, 30, 25, 0, 16, 3, 8]"
398,2,label_Hcc,2,label_Hcc,0.7346027493476868,1.3189101219177246,64.8652572631836,33,"[31, 32, 1, 20, 26, 16, 27, 29, 7, 24, 25, 13]"
1764,8,label_Tbqq,8,label_Tbqq,0.8808836340904236,1.1602675914764404,64.56568145751953,56,"[43, 30, 53, 49, 51, 17, 24, 54, 47, 29, 36, 55]"
1955,7,label_Wqq,3,label_Hgg,0.6526578664779663,-0.061800241470336914,64.22089385986328,48,"[47, 32, 27, 15, 21, 18, 24, 25, 14, 17, 3, 2]"
1777,8,label_Tbqq,8,label_Tbqq,0.8987603783607483,0.6863493323326111,63.594635009765625,68,"[67, 40, 66, 65, 64, 57, 12, 51, 61, 25, 37, 60]"
1666,8,label_Tbqq,8,label_Tbqq,0.8187083601951599,-0.37652939558029175,63.42782211303711,52,"[42, 51, 41, 46, 50, 49, 44, 48, 37, 34, 7, 38]"
2319,6,label_Zqq,6,label_Zqq,0.8343472480773926,0.48620545864105225,63.36103820800781,40,"[39, 28, 11, 30, 25, 15, 37, 17, 38, 36, 20, 9]"
171,1,label_Hbb,2,label_Hcc,0.5345289707183838,0.6316177248954773,63.28929901123047,48,"[47, 43, 34, 41, 5, 45, 35, 38, 18, 42, 8, 4]"
1112,4,label_H4q,8,label_Tbqq,0.4430278241634369,0.13298290967941284,63.2528190612793,56,"[55, 33, 29, 20, 51, 48, 46, 45, 1, 49, 24, 50]"
2239,0,label_QCD,2,label_Hcc,0.38987013697624207,-0.5331482291221619,63.103851318359375,32,"[31, 25, 3, 11, 16, 17, 1, 5, 19, 2, 0, 23]"
278,2,label_Hcc,2,label_Hcc,0.9375209212303162,1.1810089349746704,63.07791519165039,37,"[36, 33, 23, 34, 32, 28, 29, 26, 22, 1, 11, 15]"
106,1,label_Hbb,2,label_Hcc,0.33142587542533875,-0.07599879801273346,62.804073333740234,31,"[30, 19, 17, 15, 2, 4, 29, 28, 27, 18, 12, 0]"
1968,7,label_Wqq,7,label_Wqq,0.9745469689369202,1.0333333015441895,62.7673454284668,29,"[28, 27, 1, 10, 24, 21, 19, 0, 23, 22, 20, 14]"
603,3,label_Hgg,1,label_Hbb,0.4073933959007263,-0.44011080265045166,62.7510871887207,71,"[70, 39, 20, 68, 61, 53, 58, 15, 14, 45, 23, 59]"
1579,8,label_Tbqq,0,label_QCD,0.5762433409690857,-0.7415198087692261,62.716827392578125,48,"[47, 22, 8, 9, 45, 0, 31, 40, 43, 46, 14, 15]"
