block_id,block_name,call_index,module_type,captured_output_shape,replayed_output_shape,block_output_rel,accepted,fail_reason
95,mod.blocks.6.post_attn_norm,0,LayerNorm,128x64x128,128x64x128,8.495739933778168e-08,True,
96,mod.blocks.6.dropout,0,Dropout,128x64x128,128x64x128,0.0,True,
97,mod.blocks.6.pre_fc_norm,0,LayerNorm,128x64x128,128x64x128,8.472589740904368e-08,True,
98,mod.blocks.6.fc1,0,Linear,128x64x512,128x64x512,1.0631251257109398e-07,True,
99,mod.blocks.6.act,0,GELU,128x64x512,128x64x512,1.1357941787082382e-07,True,
100,mod.blocks.6.act_dropout,0,Dropout,128x64x512,128x64x512,0.0,True,
101,mod.blocks.6.post_fc_norm,0,LayerNorm,128x64x512,128x64x512,8.415356234081628e-08,True,
102,mod.blocks.6.fc2,0,Linear,128x64x128,128x64x128,3.8850097894282953e-07,True,
103,mod.blocks.6,0,Block,128x64x128,128x64x128,1.0343428158421375e-07,True,
104,mod.blocks.7.pre_attn_norm,0,LayerNorm,128x64x128,128x64x128,9.162160807818509e-08,True,
105,mod.blocks.7.attn,0,MultiheadAttention,"[128x64x128,64x128x128]",128x64x128,3.362081315572141e-07,True,
106,mod.blocks.7.post_attn_norm,0,LayerNorm,128x64x128,128x64x128,8.24713595193316e-08,True,
107,mod.blocks.7.dropout,0,Dropout,128x64x128,128x64x128,0.0,True,
108,mod.blocks.7.pre_fc_norm,0,LayerNorm,128x64x128,128x64x128,8.870193823895534e-08,True,
109,mod.blocks.7.fc1,0,Linear,128x64x512,128x64x512,1.0424709984135916e-07,True,
110,mod.blocks.7.act,0,GELU,128x64x512,128x64x512,1.2653777048399206e-07,True,
111,mod.blocks.7.act_dropout,0,Dropout,128x64x512,128x64x512,0.0,True,
112,mod.blocks.7.post_fc_norm,0,LayerNorm,128x64x512,128x64x512,8.63834586084522e-08,True,
113,mod.blocks.7.fc2,0,Linear,128x64x128,128x64x128,3.6609705489354383e-07,True,
114,mod.blocks.7,0,Block,128x64x128,128x64x128,1.1726699256087159e-07,True,
115,mod.cls_blocks.0.pre_attn_norm,0,LayerNorm,129x64x128,129x64x128,9.054614480419332e-08,True,
116,mod.cls_blocks.0.attn,0,MultiheadAttention,"[1x64x128,64x1x129]",1x64x128,2.2487849093977275e-07,True,
117,mod.cls_blocks.0.post_attn_norm,0,LayerNorm,1x64x128,1x64x128,9.084146768145729e-08,True,
118,mod.cls_blocks.0.dropout,0,Dropout,1x64x128,1x64x128,0.0,True,
119,mod.cls_blocks.0.pre_fc_norm,0,LayerNorm,1x64x128,1x64x128,7.905696719490152e-08,True,
120,mod.cls_blocks.0.fc1,0,Linear,1x64x512,1x64x512,1.5315410450966738e-07,True,
121,mod.cls_blocks.0.act,0,GELU,1x64x512,1x64x512,1.1309441383389185e-08,True,
122,mod.cls_blocks.0.act_dropout,0,Dropout,1x64x512,1x64x512,0.0,True,
123,mod.cls_blocks.0.post_fc_norm,0,LayerNorm,1x64x512,1x64x512,1.0598108701742603e-07,True,
124,mod.cls_blocks.0.fc2,0,Linear,1x64x128,1x64x128,2.714794220537442e-07,True,
125,mod.cls_blocks.0,0,Block,1x64x128,1x64x128,3.5526068131730426e-07,True,
126,mod.cls_blocks.1.pre_attn_norm,0,LayerNorm,129x64x128,129x64x128,8.888611802149171e-08,True,
127,mod.cls_blocks.1.attn,0,MultiheadAttention,"[1x64x128,64x1x129]",1x64x128,1.3131116816111899e-07,True,
128,mod.cls_blocks.1.post_attn_norm,0,LayerNorm,1x64x128,1x64x128,8.529914907740022e-08,True,
129,mod.cls_blocks.1.dropout,0,Dropout,1x64x128,1x64x128,0.0,True,
130,mod.cls_blocks.1.pre_fc_norm,0,LayerNorm,1x64x128,1x64x128,8.8334481063157e-08,True,
131,mod.cls_blocks.1.fc1,0,Linear,1x64x512,1x64x512,1.572043402120471e-07,True,
132,mod.cls_blocks.1.act,0,GELU,1x64x512,1x64x512,3.2875071553917223e-08,True,
133,mod.cls_blocks.1.act_dropout,0,Dropout,1x64x512,1x64x512,0.0,True,
134,mod.cls_blocks.1.post_fc_norm,0,LayerNorm,1x64x512,1x64x512,8.608630253092997e-08,True,
135,mod.cls_blocks.1.fc2,0,Linear,1x64x128,1x64x128,1.9988488020317163e-07,True,
136,mod.cls_blocks.1,0,Block,1x64x128,1x64x128,1.1099936614300532e-07,True,
137,mod.fc.0,0,Linear,64x10,64x10,1.6600182561887777e-07,True,
138,mod.fc,0,Sequential,64x10,64x10,1.6600182561887777e-07,True,
