src,dst,relation_type,support,strength_sum,max_strength,lift_like,confidence,risk,next_control,evidence,mean_strength,relation_signal
pattern:core_high_pt,class:label_QCD,particle_pattern_associated_with_class,1,4.8282036781311035,4.8282036781311035,0.16556291390728478,LOW,co-occurrence only; can reflect sorting or class imbalance,particle0/top-k/random controls,pattern:core_high_pt->label_QCD support=1,4.8282036781311035,0.5036612915508185
pattern:charged,class:label_QCD,particle_pattern_associated_with_class,4,2.9995800256729126,2.9995800256729126,0.5434782608695653,LOW,co-occurrence only; can reflect sorting or class imbalance,route-neighbor trace and heldout stability,pattern:charged->label_QCD support=4,0.7498950064182281,0.4463660543011453
pattern:other_particle,class:label_Wqq,particle_pattern_associated_with_class,1,3.0395267009735107,3.0395267009735107,1.1764705882352944,LOW,co-occurrence only; can reflect sorting or class imbalance,route-neighbor trace and heldout stability,pattern:other_particle->label_Wqq support=1,3.0395267009735107,0.44377113103943616
pattern:wide,class:label_Zqq,particle_pattern_associated_with_class,1,3.573733329772949,3.573733329772949,0.4838709677419355,LOW,co-occurrence only; can reflect sorting or class imbalance,route-neighbor trace and heldout stability,pattern:wide->label_Zqq support=1,3.573733329772949,0.42258976558204975
pattern:charged,class:label_Wqq,particle_pattern_associated_with_class,1,2.9496636390686035,2.9496636390686035,0.5434782608695653,LOW,co-occurrence only; can reflect sorting or class imbalance,route-neighbor trace and heldout stability,pattern:charged->label_Wqq support=1,2.9496636390686035,0.3723842227314217
task:T1_PARTICLE0_SHORTCUT_OR_CORE_ANCHOR,hypothesis:AH1,task_monitors_hypothesis,1,1.0,1.0,1.0,HIGH,task score is deterministic weak signal,Run particle0 removal / keep-only particle0 / top-k removal / same-count random controls.,Is the all-head system over-dominated by particle0 / leading-core evidence?,1.0,0.2425666691282908
task:T3_NEGATIVE_SUPPRESSIVE_GATES,hypothesis:NEGATIVE_GATES,task_monitors_hypothesis,1,1.0,1.0,1.0,HIGH,task score is deterministic weak signal,Add suppressive-head analysis and class-specific negative gate gradients.,Are there heads that suppress the current class logit?,1.0,0.2425666691282908
task:T5_PATCH_VS_GRADIENT_DIVERGENCE,hypothesis:AH3,task_monitors_hypothesis,1,1.0,1.0,1.0,HIGH,task score is deterministic weak signal,Build patch-rank vs gate-rank report and run multi-head patch combinations.,"Which heads are patch-important but not gradient-important, or gradient-important but not patch-important?",1.0,0.2425666691282908
task:T4_HQQL_TBL_SIGNATURE,hypothesis:AH2,task_monitors_hypothesis,1,0.9625,0.9625,1.0,HIGH,task score is deterministic weak signal,"Run class-specific all-head gradients: Hqql, Tbl, Tbqq, Wqq, Zqq.",Is the current stream dominated by Hqql/Tbl high-confidence events?,0.9625,0.2391916691282908
task:T2_HEAD_RANK_STABILITY,hypothesis:AH4,task_monitors_hypothesis,1,0.9571428571428572,0.9571428571428572,1.0,HIGH,task score is deterministic weak signal,"Keep tracking; if unstable, split by class/sample size and run heldout stability.",Do the same heads stay important across snapshots?,0.9571428571428572,0.23870952627114794
run:latest,head:L1_ch112:128,run_has_head_signal,1,0.8689268512214768,0.8689268512214768,1.0,MEDIUM,gradient signal is not causal patch proof,compare with patch and class-specific gradients,L1_ch112:128 rank 1 gate_abs=0.8689,0.8689268512214768,0.2307700857382237
head:L1_ch112:128,hypothesis:AH4,head_supports_hypothesis,1,0.8689268512214768,0.8689268512214768,1.0,MEDIUM,needs multi-head patch controls,multi-head patch combinations,L1_ch112:128 rank 1 gate_abs=0.8689,0.8689268512214768,0.2307700857382237
run:latest,head:L1_ch16:32,run_has_head_signal,1,0.748019616522652,0.748019616522652,1.0,MEDIUM,gradient signal is not causal patch proof,compare with patch and class-specific gradients,L1_ch16:32 rank 2 gate_abs=0.7480,0.748019616522652,0.21988843461532948
head:L1_ch16:32,hypothesis:AH4,head_supports_hypothesis,1,0.748019616522652,0.748019616522652,1.0,MEDIUM,needs multi-head patch controls,multi-head patch combinations,L1_ch16:32 rank 2 gate_abs=0.7480,0.748019616522652,0.21988843461532948
run:latest,head:L0_ch40:48,run_has_head_signal,1,0.715566657370073,0.715566657370073,1.0,MEDIUM,gradient signal is not causal patch proof,compare with patch and class-specific gradients,L0_ch40:48 rank 3 gate_abs=0.7156,0.715566657370073,0.21696766829159736
head:L0_ch40:48,hypothesis:AH4,head_supports_hypothesis,1,0.715566657370073,0.715566657370073,1.0,MEDIUM,needs multi-head patch controls,multi-head patch combinations,L0_ch40:48 rank 3 gate_abs=0.7156,0.715566657370073,0.21696766829159736
run:latest,head:L2_ch224:256,run_has_head_signal,1,0.7083240525222217,0.7083240525222217,1.0,MEDIUM,gradient signal is not causal patch proof,compare with patch and class-specific gradients,L2_ch224:256 rank 4 gate_abs=0.7083,0.7083240525222217,0.21631583385529074
head:L2_ch224:256,hypothesis:AH4,head_supports_hypothesis,1,0.7083240525222217,0.7083240525222217,1.0,MEDIUM,needs multi-head patch controls,multi-head patch combinations,L2_ch224:256 rank 4 gate_abs=0.7083,0.7083240525222217,0.21631583385529074
run:latest,head:L0_ch48:56,run_has_head_signal,1,0.3768698421619773,0.3768698421619773,1.0,MEDIUM,gradient signal is not causal patch proof,compare with patch and class-specific gradients,L0_ch48:56 rank 5 gate_abs=0.3769,0.3768698421619773,0.18648495492286873
head:L0_ch48:56,hypothesis:AH4,head_supports_hypothesis,1,0.3768698421619773,0.3768698421619773,1.0,MEDIUM,needs multi-head patch controls,multi-head patch combinations,L0_ch48:56 rank 5 gate_abs=0.3769,0.3768698421619773,0.18648495492286873
run:latest,head:L0_ch8:16,run_has_head_signal,1,0.3576639466715291,0.3576639466715291,1.0,MEDIUM,gradient signal is not causal patch proof,compare with patch and class-specific gradients,L0_ch8:16 rank 6 gate_abs=0.3577,0.3576639466715291,0.1847564243287284
head:L0_ch8:16,hypothesis:AH4,head_supports_hypothesis,1,0.3576639466715291,0.3576639466715291,1.0,MEDIUM,needs multi-head patch controls,multi-head patch combinations,L0_ch8:16 rank 6 gate_abs=0.3577,0.3576639466715291,0.1847564243287284
run:latest,head:L2_ch128:160,run_has_head_signal,1,0.3421113716471157,0.3421113716471157,1.0,MEDIUM,gradient signal is not causal patch proof,compare with patch and class-specific gradients,L2_ch128:160 rank 7 gate_abs=0.3421,0.3421113716471157,0.1833566925765312
head:L2_ch128:160,hypothesis:AH4,head_supports_hypothesis,1,0.3421113716471157,0.3421113716471157,1.0,MEDIUM,needs multi-head patch controls,multi-head patch combinations,L2_ch128:160 rank 7 gate_abs=0.3421,0.3421113716471157,0.1833566925765312
run:latest,head:L2_ch64:96,run_has_head_signal,1,0.3056455652433215,0.3056455652433215,1.0,MEDIUM,gradient signal is not causal patch proof,compare with patch and class-specific gradients,L2_ch64:96 rank 8 gate_abs=0.3056,0.3056455652433215,0.18007477000018973
head:L2_ch64:96,hypothesis:AH4,head_supports_hypothesis,1,0.3056455652433215,0.3056455652433215,1.0,MEDIUM,needs multi-head patch controls,multi-head patch combinations,L2_ch64:96 rank 8 gate_abs=0.3056,0.3056455652433215,0.18007477000018973
run:latest,head:L2_ch0:32,run_has_head_signal,1,0.2610779497063049,0.2610779497063049,1.0,MEDIUM,gradient signal is not causal patch proof,compare with patch and class-specific gradients,L2_ch0:32 rank 9 gate_abs=0.2611,0.2610779497063049,0.17606368460185823
head:L2_ch0:32,hypothesis:AH4,head_supports_hypothesis,1,0.2610779497063049,0.2610779497063049,1.0,MEDIUM,needs multi-head patch controls,multi-head patch combinations,L2_ch0:32 rank 9 gate_abs=0.2611,0.2610779497063049,0.17606368460185823
run:latest,head:L0_ch24:32,run_has_head_signal,1,0.22714711990847689,0.22714711990847689,1.0,MEDIUM,gradient signal is not causal patch proof,compare with patch and class-specific gradients,L0_ch24:32 rank 10 gate_abs=0.2271,0.22714711990847689,0.17300990992005372
head:L0_ch24:32,hypothesis:AH4,head_supports_hypothesis,1,0.22714711990847689,0.22714711990847689,1.0,MEDIUM,needs multi-head patch controls,multi-head patch combinations,L0_ch24:32 rank 10 gate_abs=0.2271,0.22714711990847689,0.17300990992005372
run:latest,head:L1_ch32:48,run_has_head_signal,1,0.21075477813137686,0.21075477813137686,1.0,MEDIUM,gradient signal is not causal patch proof,compare with patch and class-specific gradients,L1_ch32:48 rank 11 gate_abs=0.2108,0.21075477813137686,0.1715345991601147
head:L1_ch32:48,hypothesis:AH4,head_supports_hypothesis,1,0.21075477813137686,0.21075477813137686,1.0,MEDIUM,needs multi-head patch controls,multi-head patch combinations,L1_ch32:48 rank 11 gate_abs=0.2108,0.21075477813137686,0.1715345991601147
run:latest,head:L0_ch0:8,run_has_head_signal,1,0.20418599925615105,0.20418599925615105,1.0,MEDIUM,gradient signal is not causal patch proof,compare with patch and class-specific gradients,L0_ch0:8 rank 12 gate_abs=0.2042,0.20418599925615105,0.17094340906134436
head:L0_ch0:8,hypothesis:NEGATIVE_GATES,head_supports_hypothesis,1,0.20418599925615105,0.20418599925615105,1.0,MEDIUM,negative gradient may be local objective artifact,class-specific suppressive-head analysis,L0_ch0:8 rank 12 gate_abs=0.2042,0.20418599925615105,0.17094340906134436
head:L0_ch0:8,hypothesis:AH4,head_supports_hypothesis,1,0.20418599925615105,0.20418599925615105,1.0,MEDIUM,needs multi-head patch controls,multi-head patch combinations,L0_ch0:8 rank 12 gate_abs=0.2042,0.20418599925615105,0.17094340906134436
run:latest,head:L1_ch64:80,run_has_head_signal,1,0.183527687044989,0.183527687044989,1.0,MEDIUM,gradient signal is not causal patch proof,compare with patch and class-specific gradients,L1_ch64:80 rank 13 gate_abs=0.1835,0.183527687044989,0.1690841609623398
head:L1_ch64:80,hypothesis:NEGATIVE_GATES,head_supports_hypothesis,1,0.183527687044989,0.183527687044989,1.0,MEDIUM,negative gradient may be local objective artifact,class-specific suppressive-head analysis,L1_ch64:80 rank 13 gate_abs=0.1835,0.183527687044989,0.1690841609623398
head:L1_ch64:80,hypothesis:AH4,head_supports_hypothesis,1,0.183527687044989,0.183527687044989,1.0,MEDIUM,needs multi-head patch controls,multi-head patch combinations,L1_ch64:80 rank 13 gate_abs=0.1835,0.183527687044989,0.1690841609623398
run:latest,head:L1_ch80:96,run_has_head_signal,1,0.16921844155003798,0.16921844155003798,1.0,MEDIUM,gradient signal is not causal patch proof,compare with patch and class-specific gradients,L1_ch80:96 rank 14 gate_abs=0.1692,0.16921844155003798,0.16779632886779422
head:L1_ch80:96,hypothesis:NEGATIVE_GATES,head_supports_hypothesis,1,0.16921844155003798,0.16921844155003798,1.0,MEDIUM,negative gradient may be local objective artifact,class-specific suppressive-head analysis,L1_ch80:96 rank 14 gate_abs=0.1692,0.16921844155003798,0.16779632886779422
head:L1_ch80:96,hypothesis:AH4,head_supports_hypothesis,1,0.16921844155003798,0.16921844155003798,1.0,MEDIUM,needs multi-head patch controls,multi-head patch combinations,L1_ch80:96 rank 14 gate_abs=0.1692,0.16921844155003798,0.16779632886779422
run:latest,head:L1_ch48:64,run_has_head_signal,1,0.1365954355052964,0.1365954355052964,1.0,MEDIUM,gradient signal is not causal patch proof,compare with patch and class-specific gradients,L1_ch48:64 rank 15 gate_abs=0.1366,0.1365954355052964,0.16486025832376747
head:L1_ch48:64,hypothesis:AH4,head_supports_hypothesis,1,0.1365954355052964,0.1365954355052964,1.0,MEDIUM,needs multi-head patch controls,multi-head patch combinations,L1_ch48:64 rank 15 gate_abs=0.1366,0.1365954355052964,0.16486025832376747
run:latest,head:L2_ch32:64,run_has_head_signal,1,0.13062319853925153,0.13062319853925153,1.0,MEDIUM,gradient signal is not causal patch proof,compare with patch and class-specific gradients,L2_ch32:64 rank 16 gate_abs=0.1306,0.13062319853925153,0.16432275699682342
head:L2_ch32:64,hypothesis:NEGATIVE_GATES,head_supports_hypothesis,1,0.13062319853925153,0.13062319853925153,1.0,MEDIUM,negative gradient may be local objective artifact,class-specific suppressive-head analysis,L2_ch32:64 rank 16 gate_abs=0.1306,0.13062319853925153,0.16432275699682342
head:L2_ch32:64,hypothesis:AH4,head_supports_hypothesis,1,0.13062319853925153,0.13062319853925153,1.0,MEDIUM,needs multi-head patch controls,multi-head patch combinations,L2_ch32:64 rank 16 gate_abs=0.1306,0.13062319853925153,0.16432275699682342
run:latest,head:L0_ch32:40,run_has_head_signal,1,0.11246960707576363,0.11246960707576363,1.0,MEDIUM,gradient signal is not causal patch proof,compare with patch and class-specific gradients,L0_ch32:40 rank 17 gate_abs=0.1125,0.11246960707576363,0.1626889337651095
head:L0_ch32:40,hypothesis:AH4,head_supports_hypothesis,1,0.11246960707576363,0.11246960707576363,1.0,MEDIUM,needs multi-head patch controls,multi-head patch combinations,L0_ch32:40 rank 17 gate_abs=0.1125,0.11246960707576363,0.1626889337651095
run:latest,head:L0_ch16:24,run_has_head_signal,1,0.08959298154077243,0.08959298154077243,1.0,MEDIUM,gradient signal is not causal patch proof,compare with patch and class-specific gradients,L0_ch16:24 rank 18 gate_abs=0.0896,0.08959298154077243,0.1606300374669603
head:L0_ch16:24,hypothesis:AH4,head_supports_hypothesis,1,0.08959298154077243,0.08959298154077243,1.0,MEDIUM,needs multi-head patch controls,multi-head patch combinations,L0_ch16:24 rank 18 gate_abs=0.0896,0.08959298154077243,0.1606300374669603
run:latest,head:L2_ch96:128,run_has_head_signal,1,0.06664143828711544,0.06664143828711544,1.0,MEDIUM,gradient signal is not causal patch proof,compare with patch and class-specific gradients,L2_ch96:128 rank 19 gate_abs=0.0666,0.06664143828711544,0.15856439857413118
head:L2_ch96:128,hypothesis:NEGATIVE_GATES,head_supports_hypothesis,1,0.06664143828711544,0.06664143828711544,1.0,MEDIUM,negative gradient may be local objective artifact,class-specific suppressive-head analysis,L2_ch96:128 rank 19 gate_abs=0.0666,0.06664143828711544,0.15856439857413118
head:L2_ch96:128,hypothesis:AH4,head_supports_hypothesis,1,0.06664143828711544,0.06664143828711544,1.0,MEDIUM,needs multi-head patch controls,multi-head patch combinations,L2_ch96:128 rank 19 gate_abs=0.0666,0.06664143828711544,0.15856439857413118
task:T6_WIDE_SECONDARY_CONTEXT,hypothesis:T6_WIDE_SECONDARY_CONTEXT,task_monitors_hypothesis,1,0.06,0.06,1.0,LOW,task score is deterministic weak signal,Run route-neighbor trace for top all-head particles and wide secondary particles.,"Besides particle0/core, is there stable wide/secondary particle context?",0.06,0.15796666912829077
run:latest,head:L2_ch160:192,run_has_head_signal,1,0.04230899697795393,0.04230899697795393,1.0,MEDIUM,gradient signal is not causal patch proof,compare with patch and class-specific gradients,L2_ch160:192 rank 20 gate_abs=0.0423,0.04230899697795393,0.15637447885630662
head:L2_ch160:192,hypothesis:NEGATIVE_GATES,head_supports_hypothesis,1,0.04230899697795393,0.04230899697795393,1.0,MEDIUM,negative gradient may be local objective artifact,class-specific suppressive-head analysis,L2_ch160:192 rank 20 gate_abs=0.0423,0.04230899697795393,0.15637447885630662
head:L2_ch160:192,hypothesis:AH4,head_supports_hypothesis,1,0.04230899697795393,0.04230899697795393,1.0,MEDIUM,needs multi-head patch controls,multi-head patch combinations,L2_ch160:192 rank 20 gate_abs=0.0423,0.04230899697795393,0.15637447885630662
run:latest,head:L2_ch192:224,run_has_head_signal,1,0.036883427306383984,0.036883427306383984,1.0,MEDIUM,gradient signal is not causal patch proof,compare with patch and class-specific gradients,L2_ch192:224 rank 21 gate_abs=0.0369,0.036883427306383984,0.15588617758586534
head:L2_ch192:224,hypothesis:AH4,head_supports_hypothesis,1,0.036883427306383984,0.036883427306383984,1.0,MEDIUM,needs multi-head patch controls,multi-head patch combinations,L2_ch192:224 rank 21 gate_abs=0.0369,0.036883427306383984,0.15588617758586534
run:latest,head:L1_ch96:112,run_has_head_signal,1,0.02857979802283812,0.02857979802283812,1.0,MEDIUM,gradient signal is not causal patch proof,compare with patch and class-specific gradients,L1_ch96:112 rank 22 gate_abs=0.0286,0.02857979802283812,0.1551388509503462
head:L1_ch96:112,hypothesis:AH4,head_supports_hypothesis,1,0.02857979802283812,0.02857979802283812,1.0,MEDIUM,needs multi-head patch controls,multi-head patch combinations,L1_ch96:112 rank 22 gate_abs=0.0286,0.02857979802283812,0.1551388509503462
run:latest,head:L0_ch56:64,run_has_head_signal,1,0.018621155667642587,0.018621155667642587,1.0,MEDIUM,gradient signal is not causal patch proof,compare with patch and class-specific gradients,L0_ch56:64 rank 23 gate_abs=0.0186,0.018621155667642587,0.1542425731383786
head:L0_ch56:64,hypothesis:NEGATIVE_GATES,head_supports_hypothesis,1,0.018621155667642587,0.018621155667642587,1.0,MEDIUM,negative gradient may be local objective artifact,class-specific suppressive-head analysis,L0_ch56:64 rank 23 gate_abs=0.0186,0.018621155667642587,0.1542425731383786
head:L0_ch56:64,hypothesis:AH4,head_supports_hypothesis,1,0.018621155667642587,0.018621155667642587,1.0,MEDIUM,needs multi-head patch controls,multi-head patch combinations,L0_ch56:64 rank 23 gate_abs=0.0186,0.018621155667642587,0.1542425731383786
run:latest,head:L1_ch0:16,run_has_head_signal,1,0.014614771667402222,0.014614771667402222,1.0,MEDIUM,gradient signal is not causal patch proof,compare with patch and class-specific gradients,L1_ch0:16 rank 24 gate_abs=0.0146,0.014614771667402222,0.153881998578357
head:L1_ch0:16,hypothesis:NEGATIVE_GATES,head_supports_hypothesis,1,0.014614771667402222,0.014614771667402222,1.0,MEDIUM,negative gradient may be local objective artifact,class-specific suppressive-head analysis,L1_ch0:16 rank 24 gate_abs=0.0146,0.014614771667402222,0.153881998578357
head:L1_ch0:16,hypothesis:AH4,head_supports_hypothesis,1,0.014614771667402222,0.014614771667402222,1.0,MEDIUM,needs multi-head patch controls,multi-head patch combinations,L1_ch0:16 rank 24 gate_abs=0.0146,0.014614771667402222,0.153881998578357
