test,event,donor,n_patch,baseline_pred,patched_pred,success_to_Hqql,flip,delta_margin,target_p0_pid,donor_p0_pid
3A_control_qcd_hadron,14733,33472,8,label_Tbl,label_Hqql,1,1,6.072021961212158,electron,charged_hadron
3A_real_hqql_hadron,14774,13609,8,label_Tbl,label_Hqql,1,1,0.7946978807449341,muon,electron
3A_control_qcd_hadron,14774,35020,8,label_Tbl,label_Hqql,1,1,2.1122007369995117,muon,neutral_hadron
3A_real_hqql_hadron,14797,12658,8,label_Tbl,label_Hqql,1,1,1.3236242532730103,photon,photon
3A_control_qcd_hadron,14797,34054,8,label_Tbl,label_Hqql,1,1,1.5228793621063232,photon,charged_hadron
3A_real_hqql_hadron,14845,15100,8,label_Tbl,label_Hqql,1,1,4.70319128036499,muon,photon
3A_control_qcd_hadron,14845,33602,8,label_Tbl,label_Hqql,1,1,1.4133771657943726,muon,charged_hadron
3A_real_hqql_hadron,14857,15320,8,label_Tbl,label_Hqql,1,1,1.0609377026557922,electron,muon
3A_control_qcd_hadron,14857,36104,8,label_Tbl,label_Hqql,1,1,3.785422921180725,electron,charged_hadron
3A_real_hqql_hadron,14934,15412,8,label_Tbl,label_Hqql,1,1,3.7452884912490845,electron,electron
3A_control_qcd_hadron,14934,34472,8,label_Tbl,label_Hqql,1,1,4.089746475219727,electron,charged_hadron
3A_real_hqql_hadron,14948,14388,8,label_Tbl,label_Hqql,1,1,3.460570216178894,muon,charged_hadron
3A_control_qcd_hadron,14948,34593,8,label_Tbl,label_Hqql,1,1,6.492355704307556,muon,photon
3A_real_hqql_hadron,14984,15223,8,label_Tbl,label_Hqql,1,1,1.8842260837554932,electron,electron
3A_control_qcd_hadron,14984,36694,8,label_Tbl,label_Hqql,1,1,3.6657625436782837,electron,photon
3A_real_hqql_hadron,15031,15251,8,label_Tbl,label_QCD,0,1,0.7837879657745361,photon,charged_hadron
3A_control_qcd_hadron,15031,35105,8,label_Tbl,label_Hqql,1,1,6.841101408004761,photon,photon
3A_real_hqql_hadron,15035,16300,8,label_Tbl,label_Hqql,1,1,2.031164050102234,electron,electron
3A_control_qcd_hadron,15035,34117,8,label_Tbl,label_Tbl,0,0,0.97846919298172,electron,charged_hadron
3A_real_hqql_hadron,15049,14860,8,label_Tbl,label_Tbqq,0,1,3.32962703704834,photon,electron
3A_control_qcd_hadron,15049,34518,8,label_Tbl,label_QCD,0,1,2.9380486011505127,photon,neutral_hadron
3A_real_hqql_hadron,15109,13220,8,label_Tbl,label_Hqql,1,1,1.5885703265666962,muon,muon
3A_control_qcd_hadron,15109,33521,8,label_Tbl,label_Hqql,1,1,1.7449037730693817,muon,photon
3A_real_hqql_hadron,15226,14715,8,label_Tbl,label_Hqql,1,1,2.239681124687195,electron,muon
3A_control_qcd_hadron,15226,35592,8,label_Tbl,label_QCD,0,1,-1.3159444332122803,electron,charged_hadron
3A_real_hqql_hadron,15288,12823,8,label_Tbl,label_Hqql,1,1,1.58474600315094,electron,muon
3A_control_qcd_hadron,15288,32837,8,label_Tbl,label_QCD,0,1,-3.7972084283828735,electron,neutral_hadron
3A_real_hqql_hadron,15303,13861,8,label_Tbl,label_Hqql,1,1,1.4980839490890503,charged_hadron,charged_hadron
3A_control_qcd_hadron,15303,36622,8,label_Tbl,label_Hqql,1,1,2.083577036857605,charged_hadron,photon
3A_real_hqql_hadron,15310,13942,8,label_Tbl,label_Hqql,1,1,2.2462578117847443,neutral_hadron,charged_hadron
3A_control_qcd_hadron,15310,34930,8,label_Tbl,label_Hqql,1,1,0.7121537029743195,neutral_hadron,charged_hadron
3A_real_hqql_hadron,15317,12836,8,label_Tbl,label_Hqql,1,1,3.0049227476119995,photon,charged_hadron
3A_control_qcd_hadron,15317,36308,8,label_Tbl,label_QCD,0,1,0.29565751552581787,photon,neutral_hadron
3A_real_hqql_hadron,15359,13254,8,label_Tbl,label_Hqql,1,1,1.0444295406341553,muon,electron
3A_control_qcd_hadron,15359,34691,8,label_Tbl,label_Hqql,1,1,4.141123175621033,muon,charged_hadron
3A_real_hqql_hadron,15362,13955,8,label_Tbl,label_Hqql,1,1,2.0021883249282837,photon,muon
3A_control_qcd_hadron,15362,33632,8,label_Tbl,label_QCD,0,1,-0.686590313911438,photon,charged_hadron
3A_real_hqql_hadron,15369,13001,8,label_Tbl,label_Tbl,0,0,-0.46341562271118164,muon,electron
3A_control_qcd_hadron,15369,36160,8,label_Tbl,label_QCD,0,1,6.507091045379639,muon,neutral_hadron
3A_real_hqql_hadron,15392,14352,8,label_Tbl,label_Tbl,0,0,0.06509244441986084,muon,electron
3A_control_qcd_hadron,15392,35613,8,label_Tbl,label_Hqql,1,1,3.701236844062805,muon,charged_hadron
3A_real_hqql_hadron,15400,16332,8,label_Tbl,label_Hcc,0,1,4.022635221481323,muon,electron
3A_control_qcd_hadron,15400,36409,8,label_Tbl,label_Hqql,1,1,3.2194666862487793,muon,charged_hadron
3A_real_hqql_hadron,15410,14072,8,label_Tbl,label_Hqql,1,1,0.6426347494125366,neutral_hadron,electron
3A_control_qcd_hadron,15410,33328,8,label_Tbl,label_QCD,0,1,-1.1993614435195923,neutral_hadron,charged_hadron
3A_real_hqql_hadron,15414,14180,8,label_Tbl,label_Zqq,0,1,4.191242456436157,photon,muon
3A_control_qcd_hadron,15414,33238,8,label_Tbl,label_QCD,0,1,2.0988986492156982,photon,photon
3A_real_hqql_hadron,15417,15513,8,label_Tbl,label_Hqql,1,1,1.5648852586746216,electron,charged_hadron
3A_control_qcd_hadron,15417,35964,8,label_Tbl,label_Hqql,1,1,2.434991478919983,electron,charged_hadron
3A_real_hqql_hadron,15499,12420,8,label_Tbl,label_Hqql,1,1,5.108255743980408,electron,charged_hadron
3A_control_qcd_hadron,15499,34872,8,label_Tbl,label_Hqql,1,1,4.686735510826111,electron,photon
3A_real_hqql_hadron,15528,12931,8,label_Tbl,label_Tbl,0,0,0.4865100383758545,photon,muon
3A_control_qcd_hadron,15528,34769,8,label_Tbl,label_Hqql,1,1,2.4772040843963623,photon,charged_hadron
3A_real_hqql_hadron,15531,15586,8,label_Tbl,label_Hqql,1,1,0.850787878036499,photon,charged_hadron
3A_control_qcd_hadron,15531,33293,8,label_Tbl,label_Hqql,1,1,1.7902451753616333,photon,photon
3A_real_hqql_hadron,15543,14702,8,label_Tbl,label_Tbl,0,0,1.0464470386505127,electron,electron
3A_control_qcd_hadron,15543,36749,8,label_Tbl,label_QCD,0,1,-1.20111083984375,electron,neutral_hadron
3A_real_hqql_hadron,15564,12785,8,label_Tbl,label_Tbl,0,0,-4.8292282819747925,electron,electron
3A_control_qcd_hadron,15564,34259,8,label_Tbl,label_Tbl,0,0,-0.647918701171875,electron,photon
3A_real_hqql_hadron,15597,15806,8,label_Tbl,label_Hqql,1,1,3.5560061931610107,muon,electron
3A_control_qcd_hadron,15597,34971,8,label_Tbl,label_QCD,0,1,0.26974034309387207,muon,charged_hadron
3A_real_hqql_hadron,15599,15370,8,label_Tbl,label_Tbl,0,0,0.25894081592559814,muon,electron
3A_control_qcd_hadron,15599,35703,8,label_Tbl,label_Hqql,1,1,4.713521838188171,muon,charged_hadron
3A_real_hqql_hadron,15607,14839,8,label_Tbl,label_Hqql,1,1,2.0576586723327637,electron,electron
3A_control_qcd_hadron,15607,32833,8,label_Tbl,label_Hqql,1,1,7.946703672409058,electron,charged_hadron
3A_real_hqql_hadron,15630,15121,8,label_Tbl,label_Tbl,0,0,-1.5788781642913818,muon,electron
3A_control_qcd_hadron,15630,35175,8,label_Tbl,label_Hqql,1,1,1.7641259729862213,muon,charged_hadron
3A_real_hqql_hadron,15658,15724,8,label_Tbl,label_Tbl,0,0,0.11383116245269775,electron,electron
3A_control_qcd_hadron,15658,33344,8,label_Tbl,label_Hqql,1,1,2.186013698577881,electron,charged_hadron
3A_real_hqql_hadron,15697,14867,8,label_Tbl,label_Hqql,1,1,6.393397092819214,neutral_hadron,electron
3A_control_qcd_hadron,15697,34348,8,label_Tbl,label_QCD,0,1,0.3086974620819092,neutral_hadron,neutral_hadron
3A_real_hqql_hadron,15795,12640,8,label_Tbl,label_Tbl,0,0,6.07281494140625,neutral_hadron,electron
3A_control_qcd_hadron,15795,32878,8,label_Tbl,label_Tbl,0,0,6.2488250732421875,neutral_hadron,charged_hadron
3A_real_hqql_hadron,15803,15347,8,label_Tbl,label_Tbl,0,0,0.7600537538528442,electron,neutral_hadron
3A_control_qcd_hadron,15803,33963,8,label_Tbl,label_Hqql,1,1,1.9635688066482544,electron,charged_hadron
