test,target_event,donor_event,baseline_pred,patched_pred,success_to_Hqql,flip,baseline_margin_Hqql_minus_Tbl,patched_margin_Hqql_minus_Tbl,delta_margin,patched_indices,target_has_second_lepton
G1_control_same_pid_pt,13583,13897,label_Tbl,label_Tbl,0,0,-2.001351833343506,-1.406996250152588,0.594355583190918,"[100, 104, 4, 54, 75, 125, 25, 61, 111, 11, 67, 117, 17, 57, 7]",1
G2_second_lepton_removal,13583,13897,label_Tbl,label_Tbl,0,0,-2.001351833343506,-0.01313522458076477,1.988216608762741,[14],1
G2_control_random_removal,13583,13897,label_Tbl,label_Tbl,0,0,-2.001351833343506,-2.0186100006103516,-0.017258167266845703,[24],1
G3_compact_knn_plus_second_lepton_removal,13583,13897,label_Tbl,label_Hqql,1,1,-2.001351833343506,0.8826704025268555,2.8840222358703613,"[100, 104, 4, 54, 75, 125, 25, 61, 111, 11, 67, 117, 17, 57, 7, 14]",1
G1_compact_knn_injection,13787,12358,label_Tbl,label_Tbl,0,0,-1.5500601530075073,-4.78903865814209,-3.2389785051345825,"[86, 121, 35, 78, 124, 81, 38, 65, 108, 22, 83, 126, 40, 62, 19]",0
G1_control_same_pid_pt,13787,12358,label_Tbl,label_Tbl,0,0,-1.5500601530075073,-3.6727893352508545,-2.122729182243347,"[86, 121, 35, 78, 124, 81, 38, 65, 108, 22, 83, 126, 40, 62, 19]",0
G1_compact_knn_injection,13997,15233,label_Tbl,label_Tbl,0,0,-3.247049570083618,-1.5267010927200317,1.7203484773635864,"[86, 104, 18, 61, 70, 113, 27, 126, 40, 83, 85, 42, 119, 76, 33]",0
G1_control_same_pid_pt,13997,15233,label_Tbl,label_Tbl,0,0,-3.247049570083618,-3.9797964096069336,-0.7327468395233154,"[86, 104, 18, 61, 70, 113, 27, 126, 40, 83, 85, 42, 119, 76, 33]",0
G1_compact_knn_injection,14711,14991,label_Tbl,label_Tbl,0,0,-2.2424256801605225,-2.6892476081848145,-0.446821928024292,"[74, 119, 45, 34, 108, 93, 19, 32, 106, 99, 25, 63, 38, 112, 103]",1
G1_control_same_pid_pt,14711,14991,label_Tbl,label_Tbl,0,0,-2.2424256801605225,-3.673332691192627,-1.4309070110321045,"[74, 119, 45, 34, 108, 93, 19, 32, 106, 99, 25, 63, 38, 112, 103]",1
G2_second_lepton_removal,14711,14991,label_Tbl,label_Tbl,0,0,-2.2424256801605225,-2.0859270095825195,0.15649867057800293,[66],1
G2_control_random_removal,14711,14991,label_Tbl,label_Tbl,0,0,-2.2424256801605225,-2.2418718338012695,0.0005538463592529297,[59],1
G3_compact_knn_plus_second_lepton_removal,14711,14991,label_Tbl,label_Tbl,0,0,-2.2424256801605225,-2.812649965286255,-0.5702242851257324,"[74, 119, 45, 34, 108, 93, 19, 32, 106, 99, 25, 63, 38, 112, 103, 66]",1
G1_compact_knn_injection,15288,13897,label_Tbl,label_Tbl,0,0,-1.001928448677063,-0.14519155025482178,0.8567368984222412,"[94, 125, 31, 78, 103, 56, 9, 57, 104, 10, 86, 39, 102, 55, 8]",0
G1_control_same_pid_pt,15288,13897,label_Tbl,label_Hqql,1,1,-1.001928448677063,0.08832645416259766,1.0902549028396606,"[94, 125, 31, 78, 103, 56, 9, 57, 104, 10, 86, 39, 102, 55, 8]",0
G1_compact_knn_injection,15528,14625,label_Tbl,label_Tbl,0,0,-0.6690950393676758,-0.9350279569625854,-0.26593291759490967,"[109, 86, 33, 18, 71, 124, 92, 39, 52, 105, 87, 34, 110, 57, 4]",1
G1_control_same_pid_pt,15528,14625,label_Tbl,label_Tbl,0,0,-0.6690950393676758,-2.0327231884002686,-1.3636281490325928,"[109, 86, 33, 18, 71, 124, 92, 39, 52, 105, 87, 34, 110, 57, 4]",1
G2_second_lepton_removal,15528,14625,label_Tbl,label_Tbl,0,0,-0.6690950393676758,-0.5284179449081421,0.1406770944595337,[15],1
G2_control_random_removal,15528,14625,label_Tbl,label_Tbl,0,0,-0.6690950393676758,-0.8289456367492676,-0.1598505973815918,[22],1
G3_compact_knn_plus_second_lepton_removal,15528,14625,label_Tbl,label_Tbl,0,0,-0.6690950393676758,-0.5233964920043945,0.14569854736328125,"[109, 86, 33, 18, 71, 124, 92, 39, 52, 105, 87, 34, 110, 57, 4, 15]",1
G1_compact_knn_injection,15658,14625,label_Tbl,label_Tbl,0,0,-1.850990653038025,-0.8996840715408325,0.9513065814971924,"[73, 116, 43, 49, 122, 107, 34, 41, 114, 75, 2, 5, 78, 97, 24, 65]",1
G1_control_same_pid_pt,15658,14625,label_Tbl,label_Tbl,0,0,-1.850990653038025,-3.0057480335235596,-1.1547573804855347,"[73, 116, 43, 49, 122, 107, 34, 41, 114, 75, 2, 5, 78, 97, 24, 65]",1
G2_second_lepton_removal,15658,14625,label_Tbl,label_Tbl,0,0,-1.850990653038025,-2.416412830352783,-0.5654221773147583,[5],1
G2_control_random_removal,15658,14625,label_Tbl,label_Tbl,0,0,-1.850990653038025,-1.7385374307632446,0.11245322227478027,[69],1
G3_compact_knn_plus_second_lepton_removal,15658,14625,label_Tbl,label_Tbl,0,0,-1.850990653038025,-1.3157376050949097,0.5352530479431152,"[73, 116, 43, 49, 122, 107, 34, 41, 114, 75, 2, 5, 78, 97, 24, 65, 5]",1
G1_compact_knn_injection,15893,14381,label_Tbl,label_Tbl,0,0,-1.9429188966751099,-0.9671430587768555,0.9757758378982544,"[90, 88, 43, 24, 69, 114, 86, 41, 40, 85, 72, 117, 27, 76, 31]",0
G1_control_same_pid_pt,15893,14381,label_Tbl,label_Tbl,0,0,-1.9429188966751099,-4.532341003417969,-2.589422106742859,"[90, 88, 43, 24, 69, 114, 86, 41, 40, 85, 72, 117, 27, 76, 31]",0
