head_id,rank,event_index,true_label,pred_label,top_particle,leading_pt_particle,top_is_particle0,top_is_leading_pt,event_score,top_particle_pt,leading_pt,knn_neighbors_of_top_particle
L2_ch160:192,2,379,label_Tbl,label_Tbl,0,0,1,1,0.7499902248382568,62.23419952392578,62.23419952392578,"[0, 120, 96, 36, 59, 119, 118, 58, 93, 33, 57, 117, 50, 110, 115, 55]"
L2_ch160:192,3,365,label_Tbl,label_Tbl,0,0,1,1,0.6881759166717529,147.4969940185547,147.4969940185547,"[0, 92, 85, 39, 123, 31, 77, 62, 16, 108, 42, 88, 36, 82, 89, 43]"
L2_ch160:192,4,370,label_Tbl,label_Tbl,0,0,1,1,0.6369479298591614,302.8354187011719,302.8354187011719,"[66, 96, 30, 50, 116, 124, 58, 48, 114, 113, 47, 56, 122, 65, 81, 15]"
L2_ch160:192,5,415,label_Tbqq,label_Tbqq,1,0,0,0,0.5975112318992615,79.58978271484375,172.37814331054688,"[66, 74, 9, 26, 91, 108, 43, 19, 84, 102, 37, 16, 81, 114, 49, 33]"
L1_ch0:16,1,383,label_Tbl,label_Tbl,1,0,0,0,7.250781536102295,53.07666015625,115.3818359375,"[1, 109, 75, 21, 3, 57, 111, 123, 15, 69, 25, 79, 121, 13, 67, 4]"
L1_ch0:16,2,76,label_Hcc,label_Hcc,3,0,0,0,7.244054794311523,88.36013793945312,147.88963317871094,"[3, 89, 112, 26, 69, 104, 61, 18, 53, 96, 10, 5, 91, 48, 68, 25]"
L1_ch0:16,3,369,label_Tbl,label_Tbl,2,0,0,0,6.768133163452148,70.18577575683594,487.25653076171875,"[2, 74, 110, 114, 78, 6, 42, 40, 4, 76, 112, 120, 84, 12, 48, 16]"
L1_ch0:16,4,565,label_QCD,label_QCD,2,0,0,0,6.758810520172119,73.7158432006836,110.9327621459961,"[2, 106, 107, 3, 55, 34, 86, 61, 113, 9, 23, 127, 75, 119, 67, 15]"
L1_ch0:16,5,332,label_Tbl,label_Tbl,4,0,0,0,6.488992214202881,27.63729476928711,252.05963134765625,"[80, 84, 8, 18, 94, 71, 82, 6, 91, 15, 25, 101, 14, 90, 110, 34]"
L2_ch192:224,1,332,label_Tbl,label_Tbl,0,0,1,1,0.4874246418476105,252.05963134765625,252.05963134765625,"[76, 74, 70, 63, 53, 67, 100, 24, 115, 39, 11, 87, 3, 79, 77, 1]"
L2_ch192:224,2,400,label_Tbqq,label_Tbqq,2,0,0,0,0.4060755968093872,36.07419204711914,54.790382385253906,"[71, 100, 31, 23, 92, 81, 12, 68, 125, 56, 28, 97, 62, 61, 96, 27]"
L2_ch192:224,3,379,label_Tbl,label_Tbl,0,0,1,1,0.3873322010040283,62.23419952392578,62.23419952392578,"[0, 120, 96, 36, 59, 119, 118, 58, 93, 33, 57, 117, 50, 110, 115, 55]"
L2_ch192:224,4,415,label_Tbqq,label_Tbqq,1,0,0,0,0.3588102161884308,79.58978271484375,172.37814331054688,"[66, 74, 9, 26, 91, 108, 43, 19, 84, 102, 37, 16, 81, 114, 49, 33]"
L2_ch192:224,5,398,label_Tbqq,label_Tbqq,7,0,0,0,0.3384664058685303,29.17251205444336,82.43778228759766,"[7, 125, 80, 21, 36, 95, 76, 17, 91, 32, 29, 88, 126, 8, 67, 41]"
L1_ch112:128,1,106,label_Hcc,label_Hcc,19,0,0,0,6.051562309265137,5.4531941413879395,146.25042724609375,"[45, 97, 19, 123, 125, 73, 99, 21, 47, 28, 106, 80, 2, 54, 35, 9]"
L1_ch112:128,2,464,label_Wqq,label_Wqq,17,0,0,0,5.865447044372559,5.903550624847412,221.69273376464844,"[47, 17, 107, 32, 92, 122, 62, 2, 80, 20, 50, 110, 94, 64, 4, 34]"
L1_ch112:128,3,134,label_Hgg,label_Hgg,31,0,0,0,5.861996650695801,5.816227912902832,28.108436584472656,"[107, 110, 34, 35, 111, 112, 36, 8, 84, 78, 2, 12, 88, 59, 98, 22]"
L1_ch112:128,4,355,label_Tbl,label_Tbl,0,0,1,1,5.846715927124023,519.654052734375,519.654052734375,"[36, 0, 18, 90, 72, 108, 126, 35, 125, 89, 107, 53, 17, 71, 33, 15]"
L1_ch112:128,5,442,label_Tbqq,label_Tbqq,33,0,0,0,5.727205753326416,3.2741730213165283,172.15028381347656,"[82, 124, 75, 26, 127, 29, 78, 34, 83, 74, 25, 123, 39, 88, 71, 22]"
L0_ch40:48,1,86,label_Hcc,label_Hcc,36,0,0,0,13.962438583374023,0.30430880188941956,194.83799743652344,"[36, 110, 68, 105, 31, 29, 103, 66, 62, 99, 25, 18, 92, 55, 71, 34]"
L0_ch40:48,2,523,label_QCD,label_Tbqq,52,0,0,0,13.621795654296875,0.33852776885032654,138.17184448242188,"[105, 99, 46, 28, 81, 104, 51, 32, 85, 78, 25, 98, 45, 117, 64, 11]"
L0_ch40:48,3,138,label_Hgg,label_Hcc,36,0,0,0,13.319235801696777,0.33286523818969727,137.82562255859375,"[36, 110, 71, 108, 34, 28, 102, 65, 41, 78, 4, 115, 97, 23, 60, 12]"
L0_ch40:48,4,490,label_Wqq,label_H4q,52,0,0,0,12.517556190490723,0.28923770785331726,79.9541244506836,"[105, 98, 45, 57, 110, 4, 99, 46, 89, 36, 41, 94, 112, 6, 59, 43]"
L0_ch40:48,5,397,label_Tbqq,label_Tbqq,49,0,0,0,12.396790504455566,0.2903061807155609,62.08495330810547,"[99, 78, 28, 47, 97, 115, 65, 15, 88, 38, 46, 96, 118, 18, 68, 13]"
